Fractional time	Rough Address	'Time’ in memory		LTC Time
0.043405676126878	1BE685E1	1623.689146	1623.728188	00:00:26:13
0.043405676126878	1BE6B1DE	1623.728208	1623.76725	00:00:26:14
0.043405676126878	1BE6DDDB	1623.767271	1623.806313	00:00:26:15
0.043405676126878	1BE709D8	1623.806333	1623.845375	00:00:26:16
0.043405676126878	1BE735D6	1623.845396	1623.884438	00:00:26:17
0.043405676126878	1BE761D3	1623.884458	1623.9235	00:00:26:18
0.043405676126878	1BE78DD0	1623.923521	1623.962563	00:00:26:19
0.043405676126878	1BE7B9CE	1623.962583	1624.001625	00:00:26:20
0.043405676126878	1BE7E5CB	1624.001646	1624.040688	00:00:26:21
0.043405676126878	1BE811C8	1624.040708	1624.07975	00:00:26:22
0.043405676126878	1BE83DC6	1624.079771	1624.118813	00:00:26:23
0.043405676126878	1BE869C3	1624.118833	1624.157875	00:00:26:24
0.045075125208681	1BE895C0	1624.157896	1624.196938	00:00:27:00
0.045075125208681	1BE8C1BD	1624.196958	1624.236	00:00:27:01
0.045075125208681	1BE8EDBB	1624.236021	1624.275063	00:00:27:02
0.045075125208681	1BE919B8	1624.275083	1624.314125	00:00:27:03
0.045075125208681	1BE945B5	1624.314146	1624.353188	00:00:27:04
0.045075125208681	1BE971B3	1624.353208	1624.39225	00:00:27:05
0.045075125208681	1BE99DB0	1624.392271	1624.431313	00:00:27:06
0.045075125208681	1BE9C9AD	1624.431333	1624.470375	00:00:27:07
0.045075125208681	1BE9F5AB	1624.470396	1624.509417	00:00:27:08
0.045075125208681	1BEA21A2	1624.509438	1624.548479	00:00:27:09
0.045075125208681	1BEA4D9F	1624.5485	1624.587542	00:00:27:10
0.045075125208681	1BEA799D	1624.587563	1624.626604	00:00:27:11
0.045075125208681	1BEAA59A	1624.626625	1624.665667	00:00:27:12
0.045075125208681	1BEAD197	1624.665688	1624.704729	00:00:27:13
0.045075125208681	1BEAFD94	1624.70475	1624.743792	00:00:27:14
0.045075125208681	1BEB2992	1624.743813	1624.782854	00:00:27:15
0.045075125208681	1BEB558F	1624.782875	1624.821917	00:00:27:16
0.045075125208681	1BEB818D	1624.821938	1624.860979	00:00:27:17
0.045075125208681	1BEBAD8A	1624.861	1624.900042	00:00:27:18
0.045075125208681	1BEBD987	1624.900063	1624.939104	00:00:27:19
0.045075125208681	1BEC0584	1624.939125	1624.978167	00:00:27:20
